No,Date,Titles,Contents
,,,
1,3月28日,日銀が国債無制限買い入れ　長期金利の上昇抑制,"　日銀は28日午前、長期金利の上昇を抑えるため、特定の利回りで国債を無制限に買い入れる「指し値オペ」を通知した。

【図解】対ドルの円相場と長期金利

　買い入れ日は29日。長期金利の指標となる新発10年物国債を0．25％で購入する。インフレ圧力に伴う海外の金利上昇が国内市場に波及するのを抑え込むのが狙い。

　日銀は28日午後にも指し値オペ実施を追加で通知した。指し値オペは2月14日以来約1カ月半ぶりとなる。

　28日の東京債券市場では、長期金利の指標となる新発10年物国債の流通利回りが一時、0．245％に上昇（債券価格は下落）した。これは2016年1月以来の高水準。　"
,,,
2,3月28日,「天から地に落ちた」維新完敗、大阪府外の壁厚く　兵庫・西宮市長選,"　27日投開票の兵庫県西宮市長選で、日本維新の会は公認候補で新人の元県議、増山誠氏（43）が敗れ、大阪府外で初の公認首長誕生はならなかった。昨秋の衆院選の余勢を駆って、大阪に近い阪神地域の首長選で弾みを付けるシナリオを描いていただけに、今夏の参院選や来春の統一地方選に向け、地方組織の立て直しを迫られそうだ。

　「私の力不足。もう一歩深く相手の地盤にまで浸透しきれなかった」。増山氏は27日夜、事務所で報道陣を前に敗戦の弁を述べた。

　維新は衆院選で県内の小選挙区に擁立した9人が比例復活も含めて全員当選。今回は、選挙活動の中心となった県内の所属国会・地方議員に加え、大阪から国会議員、府議、大阪市議ら10人超を動員し、組織戦を展開した。松井一郎代表（大阪市長）や吉村洋文副代表（大阪府知事）も現地入りし、てこ入れした。

　しかし、増山氏の得票は4万9158票で、8万8572票を獲得した現職の石井登志郎氏（50）に倍近い大差を付けられた。陣営の選対本部長を務め、西宮市を含む衆院兵庫7区を地盤とする維新の三木圭恵衆院議員は「一人一人の期待を支持につなげるどぶ板選挙をできる組織が候補者にも私にもなかった」と総括した。この日は市議補選（改選数2）も投開票され、候補者6人のうち維新2人はともに落選した。

　維新は27日に大阪市内で開いた党大会で、参院選で改選6議席を倍増させ、統一選では全国の地方議員を現在の約400人から約600人に増やすことを目標とする活動方針を決定した。府外伸長の足がかりと位置付けてきた阪神地域での完敗に、別の維新議員は「天から地に落ちた。これから立て直しだ」と落胆した。さらに、松井氏が主張する非核三原則の見直し論議が有権者に敬遠されたとの見方を示し、「最近の維新が発信したメッセージが受け入れてもらえなかった」と不満をにじませた。

　◇「党勢拡大、持ち出すのが間違い」

　再選を決めた現職の石井氏は「市民派」を前面に出し、政党推薦を求めなかったが、維新を警戒する自民や立憲民主などから幅広く支援を受けた。27日夜、事務所で記者団に「維新に期待している人も、『維新に絶対負けたら駄目だ』という人もいて、正直ムーブメントを感じた」と振り返った。その上で、「一市長選に党勢拡大を持ち出すのが大間違い。大阪でうまくいったことは結構だが、そのまま西宮に持ってくることは国政政党として大変乱暴だ」と批判した。【稲田佳代、土居和弘、亀田早苗】

　◇潜在的支持層取り込めず

　有権者の投票行動に詳しい品田裕・神戸大教授（政治過程論）の話　現職が過半数の票を得ており、維新は2021年の知事選、衆院選の勢いを維持できなかった。三つの原因が考えられる。まず、西宮市の維新支持者は市政より国政に興味を持つ層が相対的に多く、市長選で潜在的支持層を取り込みきれなかったのではないか。実際、投票率は衆院選に及んでいない。また、維新は「旧体制とたたかう保守改革派」という構図に持ち込めなかった。実績を主張し、大きな失点も見当たらない現職を旧体制として批判しても、支持が広がらなかった可能性がある。一方、維新に負けたくない各党はきっちり票を固めた。現職は市政に関心を持つ層から評価を得るとともに、各党の支持をまとめることができた。"
,,,
3,3月28日,「ウクライナ兵がロシア兵捕虜を銃撃」の動画、当局が調査表明,"（ＣＮＮ）　ウクライナ北東部ハリコフ州でウクライナ軍の兵士らが捕虜のロシア軍兵士らをひざまずかせ、銃撃した場面とされる動画が、インターネットに投稿された。ウクライナ当局はただちに調査すると表明した。

問題の動画は６分弱の長さ。ウクライナ兵らが、ロシア国境から約３０キロの同州オルホフカ村で活動していたロシア軍の偵察班を捕らえたと話す声が入っている。

ウクライナ大統領府のアレストビッチ顧問は２７日、ユーチューブ上のインタビューでこの動画について質問を受け、「政府は非常に深刻に受け止めている。ただちに調査する」とコメント。事実だとすれば「断じて容認できない行動」だと強調した。

アレストビッチ氏はさらに記者会見の場で、ウクライナ軍は捕虜の人道的待遇を定めたジュネーブ条約を順守していると強調した。

ウクライナ国防省はＣＮＮの取材に対し、ザルジニー司令官の声明で応じた。声明はこの件に直接言及していないが、ロシア側がウクライナ軍への不信感をあおるため、捕虜の非人道的な扱いとされる動画を偽造していると主張する内容だった。

ザルジニー氏もこの中で、ウクライナ軍は国際人道法を厳守しているとの認識を示し、公式の情報以外は信用しないよう呼び掛けた。

銃撃にかかわったとされるのがどの部隊かは不明。兵士らはウクライナ語と、ウクライナなまりのロシア語で話している。

通信アプリのテレグラムには２６日、ウクライナ軍がオルホフカ村でロシア兵数人を捕虜にする場面を含む動画が投稿されていた。投稿者は作戦に参加した地元当局者で、自分は銃撃場面の動画とは無関係だと主張。場所にも見覚えがないと述べた。

銃撃の動画については、ロシア当局も調査に着手する構えを示した。"
,,,
4,3月28日,新電力、電気代4倍に…経営者「廃業しかない」　燃料価格高騰背景、切り替え先見つからず,"　新電力と契約する福井県嶺北地方の繊維関連企業の50代社長が福井新聞の取材に応じ、電気料金高騰の実態を語った。燃料価格高騰を背景に昨秋以降急激に上昇し、割安だった昨春の電気料金に比べて今年1月分は約4倍に。「早く解約しなければ」と他の新電力や北陸電力への法人契約切り替えを探したが、どこも受け付け停止で、切り替え先が見つからない。「ぎりぎりの経営を続けてきたが、高騰が続くと廃業しかない」と訴える。

　会社は家族経営で、繊維商社から糸を預かり受託加工する仕事だ。電力契約を北陸電力から新電力に切り替えたのは2020年10月。東証1部上場のグループ会社と「市場連動型」料金プランで1年契約した。「『北陸電力よりも安くなりますから』と言われて。内容に不安もあったが、新型コロナウイルス禍で経営が厳しい中、少しでも負担が減るなら、と思った」

　市場連動型は、卸電力取引所の市場価格に連動して従量料金の単価が決まる。昨冬は電力需給逼迫（ひっぱく）で卸電力市場価格が高騰したが、「新電力側が『契約したばかりなので』と安い料金に抑えてくれて安心していた」という。昨年4月分も割安の8万円台に落ち着いていた。

　だが契約が自動更新された後、突然、11月の電気料金が当座預金の残高不足で引き落としされていない、と通知が来た。料金を確認すると31万円超。北陸電と契約していた頃でも20万円以内に収まっていたのに、「見たこともない金額」に跳ね上がっていた。

　12月も33万円台、今年1月分は38万円超と上がり続けた。燃料価格高騰による昨秋以降の卸電力価格の急激な上昇をもろに受け、料金明細にある1月の平日ピーク単価は昨年4月に比べて4倍近くになっていた。「通常の電気代だと加工賃の1～2割に収まるが、一気に5割以上になってしまった」と、会社存続が厳しい状況にまで陥った。

　もう限界だと感じ、2月に入って新電力側に電話すると「解約金を払って他社に切り替えてもらって構わない」とあっさりした対応だった。急いで他の新電力を調べたが、新規受け付けしている社が見つからない。北陸電力に連絡しても全面停止だとして断られた。

　2月以降は電気料金を少しでも抑えようと、平日日中の工場稼働をやめ、単価が安い午後10時以降の夜間に稼働をシフトした。だがその分、稼働率は半減した。「原材料価格、輸送費の高騰のしわ寄せに加え、異常な電気代の値上がり。三重苦どころじゃない。リーマン・ショック後、ずっと家族経営で厳しい中をくぐり抜けてきたが、これ以上続くなら廃業しかない」と吐露する。"
,,,
5,3月28日,名阪国道でトラックが横転し車が下敷きに…2人救助,"奈良市米谷町の名阪国道・大阪方面五ヶ谷インターチェンジ付近で28日午前11時半頃、「車両が横転している」と目撃者から通報がありました。

警察と消防によりますとトラックが横転し、乗用車1台が下敷きになったということです。乗用車には男性1人、女性1人が乗っていて、いずれも救助され意識はあるということです。"
