No,Date,Titles,Contents
,,,
1,3月29日,国連、ウクライナ情勢巡り「人道的停戦」実現に本腰　事務総長が指示,"　ロシアによるウクライナ侵攻について、国連のグテーレス事務総長は28日昼（日本時間29日未明）、関係者とともに人道的停戦に向けた可能性を探るよう、国連人道部門トップに指示を出したことを明らかにした。「敵対行為の停止により、必要不可欠な人道支援が提供され、市民も安全に移動できるようになる」と主張している。

【写真】国連決議の直後、激怒したウクライナ大使

　米ニューヨークの国連本部で報道陣に語った。指示を受けたのはグリフィス国連事務次長。人道問題調整事務所（OCHA）のトップとして、世界における人道支援の調整や政策決定を担っている。

　グテーレス氏は、現地で多くの避難民が出ているほか、食糧やエネルギーの価格も高騰していることを指摘。その上で「今日の人道的悲劇に対する解決策は、人道的なものではない。政治的なものだ」と訴えた。"
,,,
2,3月29日,資源と国際協調、両立苦慮　対ロシア制裁で岸田政権,"　岸田政権は、ウクライナ侵攻を続けるロシアに対し、先進7カ国（G7）と協調して圧力を強めていく方針だ。

【図解】サハリン沖の資源開発

　ただ、エネルギー分野ではロシア極東サハリンに持つ原油・天然ガス権益を手放さない構え。仮に撤退すれば、電気料金や物価高騰などの形で国民生活に跳ね返る恐れがあるためで、国際協調と資源確保の両立に苦慮している。

　「サハリン1、2は、長期的な資源の引き取り権が確保された、エネルギー安全保障上極めて重要なプロジェクトだ」。松野博一官房長官は28日の記者会見で、サハリン1、2の権益を維持する考えを強調した。

　サハリン1は日本の官民出資会社が権益を持ち、サハリン2には三井物産、三菱商事が出資している。サハリン2は液化天然ガス（LNG）生産量の6割が日本向けで、長期契約が基本。これらに代わる調達先の確保は容易ではない。

　日本勢が撤退した場合、日本企業は割高な価格で調達先を確保しなければならず、原油価格高騰にあえぐ国民生活を圧迫するのは必至だ。

　政府内には、極東資源に関心を示す中国に権益を奪われかねないとの懸念もある。自民党幹部は「権益をほしい国はいくらでもある。日本はずる賢く立ち回らなければならない」と語る。

　一方、G7は24日の緊急首脳会合で、各国がエネルギーの脱「ロシア依存」に向けて追加措置を講じていく方針を確認。ロシア産原油の禁輸を決めた米国や英国と、依存度が高い欧州では現状の取り組みに温度差があるものの、今後ロシアの資金源を絶つ国際圧力は強まるとみられる。

　ウクライナのゼレンスキー大統領も日本の国会でのオンライン演説で「『侵略の津波』を止めるために、ロシアとの貿易を禁止しなければならない」と訴えた。自民党内には「損得だけで動けば間違いなくロシアに足元を見られる」（政調幹部）として、さらなる制裁を求める声もある。　"
,,,
3,3月29日,アブラモビッチ氏とウクライナ交渉団に毒物か 関係筋明かす,"【AFP＝時事】米紙ウォールストリート・ジャーナル（Wall Street Journal）は28日、関係者の話として、ロシア人富豪ロマン・アブラモビッチ（Roman Abramovich）氏とウクライナの交渉代表団が、両国間の停戦交渉を妨害しようとするロシアの強硬派により毒を盛られた疑いがあると報じた。AFPが取材した関係筋も、同紙の報道を事実と認めた。

【写真】ロシアとウクライナが開いた協議の様子

　ウクライナ侵攻をめぐり、ロシアのウラジーミル・プーチン（Vladimir Putin）に圧力をかけることを目的とした西側諸国の制裁を受けているアブラモビッチ氏は、各地で行われる両国間の交渉に参加していると報じられている。

　関係者がウォールストリート・ジャーナル紙に語ったところによると、ウクライナの首都キエフでの協議後、アブラモビッチ氏と少なくとも2人のウクライナ代表者が、目の充血や痛み、涙目、顔や手の皮膚の剥離などの症状を訴えた。その後回復し、命に別条はないとされている。実行者の正体は不明だが、被害者は停戦交渉を妨害しようとするロシアの強硬派による犯行を主張しているという。

　同紙の取材に応じた英検証サイト「ベリングキャット（Bellingcat）」研究員のクリスト・グロゼフ（Christo Grozev）氏は、「殺害の意図はなく、単なる警告」だったとの見方を示した。同氏は、2020年にロシアの反体制派指導者アレクセイ・ナワリヌイ（Alexei Navalny）氏が神経剤による毒殺未遂に遭った事件について、ロシア政府の工作員が実行したとの調査結果を出している。

　グロゼフ氏はアブラモビッチ氏の被害の様子を捉えた画像は見たものの、毒物検出のためのサンプル採取は間に合わなかったという。グロゼフ氏はツイッター（Twitter）への投稿で、被害に遭った3人は「症状が出るまでの数時間、チョコレートと水しか口にしていなかった」と説明している。【翻訳編集】 AFPBB News"
,,,
4,3月29日,米、国防予算100兆円超　23年度、対ロ「世界変化」,"　【ワシントン共同】バイデン米政権は28日、2023会計年度（22年10月～23年9月）の予算編成方針を示す予算教書を発表した。ウクライナに侵攻するロシアや中国への対抗を背景に、国防予算を過去最大規模となる前年度比4％増の8133億ドル（約101兆円）に拡大。財政赤字の圧縮に向けた富裕層や企業への増税策も掲げた。

ロシア経済、その絶望的な未来予測　同国の著名経済学者「次の冬までに死に至る」"
,,,
5,3月29日,高齢者「３回目」８割超え　ワクチン接種、負荷軽減に期待,"新型コロナウイルス対策における高齢者への３回目のワクチン接種が８０％を超えたことが２８日、政府の集計で判明した。オミクロン株による感染流行の第６波は感染者数の減少局面に入ったものの、下げ止まりがみられる地域もある。年度替わりでの接触機会の増加と、オミクロン株の派生型「ＢＡ・２」への置き換わりが懸念される中で、接種の進展が医療負荷の軽減につながるとの期待もある。

【イラスト】マスク有無で１５分会話した場合の感染確率

「感染者が増え、医療の負荷や死者の増加傾向が予測される状況になれば、当然、対策が必要になってくる」。厚生労働省にコロナ対策を助言する専門家組織の脇田隆字（たかじ）座長は１５日の会見で、リバウンド発生時の対応にこう言及した。

発言の念頭には、過去最多の感染者数と死者数を出した第６波の感染拡大があったとみられる。死者の多くは７０代以上の高齢者で、コロナ感染で持病を悪化させての死亡例も目立った。

第６波ではオミクロン株の「ＢＡ・１・１」系統が主流だが、これより２６％感染力が強いとされる「ＢＡ・２」への置き換わりが進む。国立感染症研究所は既にＢＡ・２が過半数を占めている可能性があると分析し、５月上旬にはほぼ完全に置き換わるとみている。

第６波と同様にＢＡ・２の感染が現役世代に広がれば医療従事者の欠勤による医療体制の縮小が生じ、高齢層の死者数増加という事態が再び起きかねない。

２１日で蔓延（まんえん）防止等重点措置も全面解除された上、年度替わりや春休み、花見のシーズンが重なり、人々の接触機会の増加が見込まれるという状況もある。

しかし、第６波の流行期と異なるのは、３回目のワクチン接種率だ。２７日時点のデータでは、感染者数がピークだった２月１日時点で８・６％と１割にも満たなかった高齢者の接種率は３月１０日に７割を超えた。高齢者の死者・重症者が比較的少なかった昨夏の第５波では、急拡大前の７月下旬に高齢者の７割が２回接種を終え、８月に入った時点で８割を超えていた。

２回接種後からの時間経過で著しく低下したオミクロン株感染への発症予防効果が３回目接種で回復する上、ＢＡ・１とＢＡ・２で効果に大きな違いがないとの報告がある。さらに、専門家の間では感染・入院予防効果も取り戻せるとの見方が広がっている。

脇田氏は「重点措置の解除で新規感染者数の上昇圧力は強まるが、高齢者へのワクチン接種で重症化予防効果が効いてくれば医療の負担が軽減される期待もある。基本的な対策で感染状況の改善を継続し、医療の負荷を見ていく必要がある」との認識を示した。"
,,,
